#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
PA_154197,PDT000200076.1,Hong Kong,GCA_002075065.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
NA04,PDT000220309.1,Mexico: Morelos,GCA_002204155.1,24/06/2014,,nematode,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Ocean-238,PDT000236149.1,Pacific Ocean,GCA_002263685.1,01/05/2004,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-15=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_150577,PDT000248992.1,Hong Kong,GCA_002442855.1,,clinical,Homo sapiens,"aph(3')-IIb=PARTIAL,blaOXA-851=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
W-101,PDT000370792.1,China:Nankai University,GCA_003413835.1,05/03/2016,,,"aph(3')-IIb=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_4823,PDT000383143.1,Hong Kong,GCA_003585055.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_153673,PDT000383144.1,Hong Kong,GCA_003585085.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1030=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_152361,PDT000383148.1,Hong Kong,GCA_003585165.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-906=COMPLETE,blaPDC-59=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_151908,PDT000383149.1,Hong Kong,GCA_003585175.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CCUG 551,PDT000599572.1,,GCA_008801675.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
RBS,PDT000683349.1,Tunisia: saltern of Sfax,GCA_010378085.1,2015-02,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAK,PDT000025951.2,,GCA_000568855.2,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-286=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JYH28,PDT000411551.1,Japan,GCA_003833805.1,,,,"aph(3')-IIb=PARTIAL,blaOXA-851=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JYH24,PDT000411581.1,Japan,GCA_003834405.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JYH16,PDT000411582.1,Japan,GCA_003834385.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JYH8,PDT000411628.1,Japan,GCA_003835335.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-127=COMPLETE,catB7=MISTRANSLATION,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LMG5031,PDT000411723.1,Puerto Rico: Unknown,GCA_003837245.1,1961,,Aglaonema,"aph(3')-II=HMM,blaOXA=HMM,blaPDC-455=COMPLETE,crpP=PARTIAL,mexA=COMPLETE,mexE=COMPLETE",
856,PDT000411835.1,United Kingdom,GCA_003840205.1,,,Equus,"aph(3')-IIb=COMPLETE,blaOXA-1021=COMPLETE,blaPDC-167=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
903,PDT000411836.1,United Kingdom,GCA_003840215.1,,,Equus,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-158=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS485,PDT000411858.1,Australia: Brisbane,GCA_003840655.1,2006,,Reptilia,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS321,PDT000411865.1,Australia: Mundubbera,GCA_003840805.1,2008,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-36=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS195,PDT000411875.1,Australia: Brisbane,GCA_003841015.1,2008,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
32CFBRPA,PDT000429917.1,,GCA_003974285.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
0C4A,PDT000101742.1,Germany: Hannover,GCA_001500245.1,1995,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
M26,PDT000217918.1,Malaysia: Kuala Lumpur,GCA_002189505.1,2012-12,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexX=COMPLETE",
Pae111,PDT000224568.1,"USA: Maysville, KY",GCA_002216335.1,08/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae112,PDT000224569.1,"USA: Maysville, KY",GCA_002216325.1,08/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae110,PDT000224570.1,"Canada: Toronto, ON",GCA_002216345.1,08/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae113,PDT000224571.1,"USA: Maysville, KY",GCA_002216355.1,08/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae85,PDT000224572.1,"Canada: King City, ON",GCA_002216405.1,2004,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA=MISTRANSLATION,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae100,PDT000224573.1,"Canada: King City, ON",GCA_002216425.1,07/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PaEB6,PDT000224574.1,"USA: Annandale-On-Hudson, NY",GCA_002216445.1,06/10/2015,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae102,PDT000224576.1,"Canada: King City, ON",GCA_002216485.1,07/04/2010,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PaEB1,PDT000224577.1,"USA: Annandale-On-Hudson, NY",GCA_002216505.1,06/10/2015,environmental/other,,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WCHPA075016,PDT000293765.1,"China: Sichuan, Chengdu",GCA_002980265.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WCHPA075006,PDT000293771.1,"China: Sichuan, Chengdu",GCA_002980375.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WCHPA075025,PDT000293772.1,"China: Sichuan, Chengdu",GCA_002980385.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LV,PDT000356197.2,"Brazil: Parana, Astorga",GCA_003347525.2,2004,,,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_139357,PDT000383139.1,Hong Kong,GCA_003584985.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-37=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
PA_152603,PDT000383146.1,Hong Kong,GCA_003585105.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BH9,PDT000410167.1,Brazil: Belo Horizonte,GCA_003795165.1,2011,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-14=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL",
Pseudomonas aeruginosa,PDT000443877.1,,GCA_021709055.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SF2,PDT000559096.1,Ireland,GCA_007860265.1,2017,,,"aac(3)-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-34=COMPLETE,catB7=MISTRANSLATION,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SF3,PDT000559097.1,Ireland,GCA_007860305.1,2017,,,"aac(3)-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-34=COMPLETE,catB7=MISTRANSLATION,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
B18,PDT000786178.2,China:Nanning,GCA_013395035.1,05/12/2019,,sugarcane,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-122=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ACR22,PDT000796935.2,China:Nanning,GCA_013467605.1,05/12/2019,,sugarcane,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-122=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DJ06,PDT001106564.1,China: Naning,GCA_019466095.1,05/10/2020,,sugarcane,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-122=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PFL-P1,PDT000763657.1,"India: Paradip Port, Odisha",GCA_013309705.1,16/07/2017,,,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAAK088,PDT000766525.1,Canada:Toronto,GCA_013341295.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
KC-Tt-1,PDT000913041.1,South Korea: Ulsan,GCA_014930935.1,2020-08,environmental/other,Tursiops truncatus (Bottlenose dolphin),"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
MRSN1680,PDT000992778.1,USA: Bethesda,GCA_017592845.1,13/10/2010,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-402=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BT1 2.2,PDT001003029.1,Viet Nam,GCA_017893545.1,30/04/2018,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012911.1,Denmark,GCA_021663095.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-64=COMPLETE,catB7=MISTRANSLATION,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012912.1,Denmark,GCA_021663035.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-848=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012914.1,Denmark,GCA_021663075.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-850=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012915.1,Denmark,GCA_021663015.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012917.1,Denmark,GCA_021662975.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-60=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012919.1,Denmark,GCA_021662915.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-902=COMPLETE,blaPDC-167=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001012922.1,Denmark,GCA_021662815.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013056.1,Denmark,GCA_021662695.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-23=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013090.1,Denmark,GCA_021662775.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013122.1,Denmark,GCA_021662635.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-901=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013204.1,Denmark,GCA_021662595.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013246.1,Denmark,GCA_021662535.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013399.1,Denmark,GCA_021662415.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013589.1,Denmark,GCA_021662335.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013722.1,Denmark,GCA_021662215.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1029=COMPLETE,blaPDC-63=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas aeruginosa,PDT001013734.1,Denmark,GCA_021662175.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PES_P749,PDT001265075.1,Canada: Calgary,GCA_022559545.1,02/07/1980,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DSM 50071,PDT000068980.1,,GCA_001045685.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M7,PDT000127007.1,Malaysia: Perak,GCA_001619935.1,2011-10,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
